timepoint,site,deploy_date,pull_date,plot,treatment,density_turb_adult
Initial,Pharmacy_West,210730,210810,1,Palatable,1
Initial,Pharmacy_West,210730,210810,2,Palatable,1
Initial,Pharmacy_West,210730,210810,3,Palatable,1
Initial,Pharmacy_West,210730,210810,4,Palatable,2
Initial,Pharmacy_West,210730,210810,5,Palatable,1
Initial,Pharmacy_West,210730,210810,6,Palatable,3
Initial,Pharmacy_West,210730,210810,1,Unpalatable,21
Initial,Pharmacy_West,210730,210810,2,Unpalatable,25
Initial,Pharmacy_West,210730,210810,3,Unpalatable,34
Initial,Pharmacy_West,210730,210810,4,Unpalatable,37
Initial,Pharmacy_West,210730,210810,5,Unpalatable,26
Initial,Pharmacy_West,210730,210810,6,Unpalatable,31
Final,Pharmacy_West,210730,210810,1,Unpalatable,3
Final,Pharmacy_West,210730,210810,1,Palatable,0
Final,Pharmacy_West,210730,210810,2,Unpalatable,7
Final,Pharmacy_West,210730,210810,2,Palatable,0
Final,Pharmacy_West,210730,210810,3,Unpalatable,19
Final,Pharmacy_West,210730,210810,3,Palatable,0
Final,Pharmacy_West,210730,210810,4,Unpalatable,0
Final,Pharmacy_West,210730,210810,4,Palatable,0
Final,Pharmacy_West,210730,210810,5,Unpalatable,0
Final,Pharmacy_West,210730,210810,5,Palatable,0
Final,Pharmacy_West,210730,210810,6,Unpalatable,0
Final,Pharmacy_West,210730,210810,6,Palatable,0
Initial,MRB,210804,210814,1,Palatable,3
Initial,MRB,210804,210814,2,Palatable,2
Initial,MRB,210804,210814,3,Palatable,4
Initial,MRB,210804,210814,4,Palatable,1
Initial,MRB,210804,210814,5,Palatable,3
Initial,MRB,210804,210814,6,Palatable,2
Initial,MRB,210804,210814,1,Unpalatable,25
Initial,MRB,210804,210814,2,Unpalatable,21
Initial,MRB,210804,210814,3,Unpalatable,25
Initial,MRB,210804,210814,4,Unpalatable,20
Initial,MRB,210804,210814,5,Unpalatable,15
Initial,MRB,210804,210814,6,Unpalatable,18
Final,MRB,210804,210814,1,Unpalatable,19
Final,MRB,210804,210814,2,Unpalatable,17
Final,MRB,210804,210814,3,Unpalatable,20
Final,MRB,210804,210814,4,Unpalatable,11
Final,MRB,210804,210814,5,Unpalatable,13
Final,MRB,210804,210814,6,Unpalatable,13
Initial,Pharmacy_East,210808,210819,1,Palatable,2
Initial,Pharmacy_East,210808,210819,1,Unpalatable,35
Initial,Pharmacy_East,210808,210819,2,Palatable,0
Initial,Pharmacy_East,210808,210819,2,Unpalatable,28
Initial,Pharmacy_East,210808,210819,3,Palatable,0
Initial,Pharmacy_East,210808,210819,3,Unpalatable,28
Initial,Pharmacy_East,210808,210819,4,Palatable,1
Initial,Pharmacy_East,210808,210819,4,Unpalatable,27
Initial,Pharmacy_East,210808,210819,5,Palatable,2
Initial,Pharmacy_East,210808,210819,5,Unpalatable,31
Initial,Pharmacy_East,210808,210819,6,Palatable,0
Initial,Pharmacy_East,210808,210819,6,Unpalatable,28
Final,Pharmacy_East,210808,210819,1,Unpalatable,21
Final,Pharmacy_East,210808,210819,1,Palatable,0
Final,Pharmacy_East,210808,210819,2,Unpalatable,15
Final,Pharmacy_East,210808,210819,2,Palatable,0
Final,Pharmacy_East,210808,210819,3,Unpalatable,9
Final,Pharmacy_East,210808,210819,3,Palatable,0
Final,Pharmacy_East,210808,210819,4,Unpalatable,16
Final,Pharmacy_East,210808,210819,4,Palatable,1
Final,Pharmacy_East,210808,210819,5,Palatable,0
Final,Pharmacy_East,210808,210819,5,Unpalatable,24
Final,Pharmacy_East,210808,210819,6,Unpalatable,26
Final,Pharmacy_East,210808,210819,6,Palatable,0
Initial,Ava_Iti_East,210812,210823,1,Unpalatable,34
Initial,Ava_Iti_East,210812,210823,1,Palatable,5
Initial,Ava_Iti_East,210812,210823,2,Unpalatable,27
Initial,Ava_Iti_East,210812,210823,2,Palatable,0
Initial,Ava_Iti_East,210812,210823,3,Unpalatable,27
Initial,Ava_Iti_East,210812,210823,3,Palatable,4
Initial,Ava_Iti_East,210812,210823,4,Unpalatable,33
Initial,Ava_Iti_East,210812,210823,4,Palatable,0
Initial,Ava_Iti_East,210812,210823,5,Unpalatable,22
Initial,Ava_Iti_East,210812,210823,5,Palatable,1
Initial,Ava_Iti_East,210812,210823,6,Unpalatable,27
Initial,Ava_Iti_East,210812,210823,6,Palatable,1
Final,Ava_Iti_East,210812,210823,1,Unpalatable,32
Final,Ava_Iti_East,210812,210823,1,Palatable,2
