"Site","Habitat","N","Browsing","SD","SE","CI"
"126","Fringe",15,7.55555555555556,17.3875829927003,4.48945462410185,9.62892251378468
"132","Midlagoon",15,42.4444444444444,36.2632934939238,9.36314211870657,20.0819425732844
"133","Fringe",15,3.77777777777778,12.9017450933983,3.33121625891632,7.14474828669907
"134","Midlagoon",15,18.3333333333333,19.54847454772,5.04739442447194,10.825584370278
"136","Midlagoon",15,13.7777777777778,23.0205797048443,5.94388812112683,12.7483721166656
"139","Fringe",15,11.7777777777778,21.4130455217963,5.52882457983321,11.858149358659
"144","Midlagoon",15,4.88888888888889,11.876792540842,3.06657464780278,6.57714848211363
"145","Fringe",15,76.7222222222222,28.5191154682249,7.36360395046677,15.7933597280601
"146","Fringe",15,2.66666666666667,4.91192265075338,1.26825297494846,2.7201320975816
"148","Midlagoon",15,40.3333333333333,26.3236872025275,6.79674680974414,14.577572078687
"150","Fringe",15,78.4444444444444,28.6707269180707,7.40274985848989,15.8773193504745
"152","Midlagoon",15,7.77777777777778,14.2910043115522,3.68992144661468,7.91409439816156
"159","Fringe",15,22.6666666666667,36.3012090401653,9.37293187065028,20.1029395029312
"160","Midlagoon",15,4.88888888888889,13.2657014883811,3.42518939601726,7.34630062017504
"163","Fringe",15,17.7777777777778,16.6030532029918,4.28688990342553,9.19446439743631
"166","Midlagoon",15,8,9.66091783079296,2.49443825784929,5.35003796926804
"175","Fringe",15,7.55555555555556,18.6643989552246,4.81912708803706,10.335999625806
"176","Fringe",15,69.5555555555556,32.5592662709991,8.40676640215416,18.0307206677749
"182","Midlagoon",15,37.7777777777778,32.4567273987867,8.380290979193,17.9739365330508
"186","Midlagoon",15,73.2222222222222,36.3540060600446,9.38656400256507,20.13217751799
