Taxonomy,Entry,Site,Site_survey,Date,Surveyor,Survey_code,GPS,GoPro,Time.Start,Minute,Size,Number,Stage,Notes
Scarus psittacus,3338,166,166_1,7/16/2017,,,,,10:27,0,15,1,,
Scarus psittacus,3339,166,166_1,7/16/2017,,,,,10:27,0,20,5,,
Scarus oviceps,3340,166,166_1,7/16/2017,,,,,10:27,1,20,1,,
Chlorurus sordidus,3341,166,166_1,7/16/2017,,,,,10:27,1,20,1,,
NO FISH,3342,166,166_1,7/16/2017,,,,,10:27,2,,,,
Chlorurus sordidus,3343,166,166_1,7/16/2017,,,,,10:27,3,15,2,,
Chlorurus sordidus,3344,166,166_1,7/16/2017,,,,,10:27,3,25,1,TP,
Ctenochaetus striatus,3345,166,166_1,7/16/2017,,,,,10:27,3,20,3,,
Zebrasoma scopas,3346,166,166_1,7/16/2017,,,,,10:27,3,15,1,,
Acanthurus nigrofuscus,3347,166,166_1,7/16/2017,,,,,10:27,3,15,1,,
Scarus altipinnis,3348,166,166_1,7/16/2017,,,,,10:27,4,35,1,,
Scarus psittacus,3349,166,166_1,7/16/2017,,,,,10:27,4,20,5,,
Scarus psittacus,3350,166,166_1,7/16/2017,,,,,10:27,4,15,15,,
Chlorurus sordidus,3351,166,166_1,7/16/2017,,,,,10:27,4,15,5,,
Zebrasoma scopas,3352,166,166_1,7/16/2017,,,,,10:27,5,15,4,,
Ctenochaetus striatus,3353,166,166_1,7/16/2017,,,,,10:27,5,20,5,,
Chaetodon citrinellus,3354,166,166_1,7/16/2017,,,,,10:27,5,10,3,,
Scarus psittacus,3355,166,166_1,7/16/2017,,,,,10:27,5,12,1,,
Chlorurus sordidus,3356,166,166_1,7/16/2017,,,,,10:27,5,10,1,,
Chlorurus sordidus,3357,166,166_1,7/16/2017,,,,,10:27,6,20,1,,
Chlorurus sordidus,3358,166,166_1,7/16/2017,,,,,10:27,6,15,2,,
Chlorurus sordidus,3359,166,166_1,7/16/2017,,,,,10:27,6,10,2,,
Ctenochaetus striatus,3360,166,166_1,7/16/2017,,,,,10:27,6,20,5,,
Zebrasoma scopas,3361,166,166_1,7/16/2017,,,,,10:27,6,15,4,,
Scarus oviceps,3362,166,166_1,7/16/2017,,,,,10:27,6,20,2,,
Scarus psittacus,3363,166,166_1,7/16/2017,,,,,10:27,7,12,2,,
Chlorurus sordidus,3364,166,166_1,7/16/2017,,,,,10:27,7,12,2,,
Chlorurus sordidus,3365,166,166_1,7/16/2017,,,,,10:27,7,15,5,,
Chlorurus sordidus,3366,166,166_1,7/16/2017,,,,,10:27,7,10,5,,
Scarus psittacus,3367,166,166_1,7/16/2017,,,,,10:27,7,10,8,,
Balistapus undulatus,3368,166,166_1,7/16/2017,,,,,10:27,8,20,1,,
Ctenochaetus striatus,3369,166,166_1,7/16/2017,,,,,10:27,8,20,1,,
UNKNOWN SURGEONFISH,3370,166,166_1,7/16/2017,,,,,10:27,9,25,2,,
Scarus psittacus,3371,166,166_1,7/16/2017,,,,,10:27,9,15,2,,
Scarus psittacus,3372,166,166_1,7/16/2017,,,,,10:27,9,20,1,TP,
Chlorurus sordidus,3373,166,166_1,7/16/2017,,,,,10:27,9,20,1,,
Acanthurus nigrofuscus,3374,166,166_1,7/16/2017,,,,,10:27,9,10,1,,
Balistapus undulatus,3375,166,166_1,7/16/2017,,,,,10:27,10,15,1,,
Naso lituratus,3376,166,166_1,7/16/2017,,,,,10:27,10,15,1,,
Acanthurus nigrofuscus,3377,166,166_1,7/16/2017,,,,,10:27,11,12,1,,
Chlorurus sordidus,3378,166,166_1,7/16/2017,,,,,10:27,11,20,1,,
Acanthurus nigrofuscus,3379,166,166_1,7/16/2017,,,,,10:27,11,12,4,,
Ctenochaetus striatus,3380,166,166_1,7/16/2017,,,,,10:27,11,15,4,,
Scarus psittacus,3381,166,166_1,7/16/2017,,,,,10:27,11,15,2,,
Chlorurus sordidus,3382,166,166_1,7/16/2017,,,,,10:27,11,10,2,,
Melichthys vidua,3383,166,166_1,7/16/2017,,,,,10:27,12,25,1,,
Ctenochaetus striatus,3384,166,166_1,7/16/2017,,,,,10:27,12,20,4,,
Zebrasoma scopas,3385,166,166_1,7/16/2017,,,,,10:27,12,15,3,,
Chlorurus sordidus,3386,166,166_1,7/16/2017,,,,,10:27,12,25,1,,
