Taxonomy,Family,Corallivore,Skeleton_remover,Trophic_group,Herbivore_functional_group
Acanthurus guttatus,Acanthuridae,NO,NO,Herbivore,Grazer
Acanthurus lineatus,Acanthuridae,NO,NO,Herbivore,Grazer
Acanthurus nigricans,Acanthuridae,NO,NO,Herbivore,Grazer
Acanthurus nigricauda,Acanthuridae,NO,NO,Herbivore,Grazer
Acanthurus nigrofuscus,Acanthuridae,NO,NO,Herbivore,Grazer
Acanthurus nigroris,Acanthuridae,NO,NO,Herbivore,Grazer
Acanthurus pyroferus,Acanthuridae,NO,NO,Herbivore,Grazer
Acanthurus triostegus,Acanthuridae,NO,NO,Herbivore,Grazer
Arothron meleagris,Tetraodontidae,YES,YES,Invertebrate_consumer,Grazer
Balistapus undulatus,Balistidae,NO,NO,Invertebrate_consumer,
Carcharhinus melanopterus,Chondrichthyes,NO,NO,Piscivore,
Chaetodon auriga,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon citrinellus,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon ephippium,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon lunula,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon lunulatus,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon ornatissimus,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon reticulatus,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon trifascialis,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon ulietensis,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chaetodon vagabundus,Chaetodontidae,YES,NO,Invertebrate_consumer,
Chlorurus sordidus,Scaridae,YES,YES,Herbivore,Excavator
Ctenochaetus striatus,Acanthuridae,NO,NO,Herbivore,Detritivore
Diodon hystrix,Diodontidae,NO,NO,Invertebrate_consumer,
Forcipiger longirostris,Chaetodontidae,NO,NO,Invertebrate_consumer,
Heniochus chrysostomus,Chaetodontidae,YES,NO,Invertebrate_consumer,
Leptoscarus vaigiensis,Scaridae,NO,NO,Herbivore,Browser
Melichthys vidua,Balistidae,NO,NO,Invertebrate_consumer,
Naso lituratus,Acanthuridae,NO,NO,Herbivore,Browser
Naso unicornis,Acanthuridae,NO,NO,Herbivore,Browser
NO DATA TAKEN,,,,,
NO FISH,,,,,
Pygoplites diacanthus,Pomacanthidae,NO,NO,Invertebrate_consumer,
Rhinecanthus aculeatus,Balistidae,NO,NO,Invertebrate_consumer,
Scarus altipinnis,Scaridae,NO,NO,Herbivore,Scraper
Scarus globiceps,Scaridae,NO,NO,Herbivore,Scraper
Scarus oviceps,Scaridae,NO,NO,Herbivore,Scraper
Scarus psittacus,Scaridae,NO,NO,Herbivore,Scraper
Siganus spinus,Siganidae,NO,NO,Herbivore,Browser
Sufflamen bursa,Balistidae,NO,NO,Invertebrate_consumer,
UNKNOWN PARROTFISH,Scaridae,YES,YES,Herbivore,
UNKNOWN SURGEONFISH,Acanthuridae,NO,NO,Herbivore,
Zebrasoma scopas,Acanthuridae,NO,NO,Herbivore,Grazer
Zebrasoma veliferum,Acanthuridae,NO,NO,Herbivore,Grazer
