Family,Taxonomy,Length_code,Cite_bm_conversion,Taxon_resolution,a,b,Totlen2forklen,Cite_length_conversion,Note_length_conversion
Acanthuridae,Acanthurus achilles,FL,Kulbicki,Genus,0.028,2.983,0.925,Fishbase,
Acanthuridae,Acanthurus blochii,FL,Kulbicki,Species,0.025,3.032,0.921,Fishbase,
Acanthuridae,Acanthurus guttatus,FL,Kulbicki,Genus,0.028,2.983,0.98,Fishbase,
Acanthuridae,Acanthurus lineatus,FL,Kulbicki,Genus,0.028,2.983,0.812,Fishbase,
Acanthuridae,Acanthurus mata,FL,Kulbicki,Species,0.022,3.008,0.909,Genus Average,na
Acanthuridae,Acanthurus nigricans,FL,Kulbicki,Genus,0.028,2.983,0.984,Fishbase,
Acanthuridae,Acanthurus nigricauda,FL,Kulbicki,Species,0.017,3.168,0.818,Fishbase,
Acanthuridae,Acanthurus nigrofuscus,FL,Kulbicki,Species,0.026,3.028,0.883,Fishbase,
Acanthuridae,Acanthurus nigroris,FL,Kulbicki,Genus,0.028,2.983,0.912,Fishbase,
Acanthuridae,Acanthurus olivaceus,FL,Kulbicki,Genus,0.028,2.983,0.893,Fishbase,
Acanthuridae,Acanthurus pyroferus,FL,Kulbicki,Genus,0.028,2.983,0.929,Fishbase,
Acanthuridae,Acanthurus thompsoni,FL,Kulbicki,Genus,0.028,2.983,0.88,Fishbase,
Acanthuridae,Acanthurus triostegus,FL,Kulbicki,Species,0.083,2.57,0.975,Fishbase,
Acanthuridae,Ctenochaetus binotatus,FL,Kulbicki,Species,0.039,2.875,0.95,Fishbase,
Acanthuridae,Ctenochaetus flavicauda,FL,Kulbicki,Genus,0.024,3.056,0.939,Fishbase,
Acanthuridae,Ctenochaetus marginatus,FL,Kulbicki,Species,,,1.105,Fishbase,na
Acanthuridae,Ctenochaetus striatus,FL,Kulbicki,Species,0.023,3.063,0.878,Fishbase,
Acanthuridae,Naso annulatus,FL,Kulbicki,Species,0.051,2.715,1,Photograph,Variable but close to 1
Acanthuridae,Naso brachycentron,FL,Kulbicki,Genus,0.009,3.25,0.856,Fishbase,
Acanthuridae,Naso brevirostris,FL,Kulbicki,Species,0.011,3.243,1,Fishbase,
Acanthuridae,Naso hexacanthus,FL,Kulbicki,Species,0.02,2.956,0.947,Fishbase,
Acanthuridae,Naso lituratus,FL,Kulbicki,Genus,0.009,3.25,0.838,Fishbase,
Acanthuridae,Naso sp.,FL,Kulbicki,Genus,0.009,3.25,0.928,Genus Average,
Acanthuridae,Naso sp. 1,FL,Kulbicki,Genus,0.009,3.25,0.928,Genus Average,
