Site,Lon,Lat,Habitat,Lagoon,PercConsumed,Sargassum_consumption,Grazing,Percent_N_June2017,Acanthuridae,Balistidae,Chaetodontidae,Diodontidae,Pomacanthidae,Scaridae,Siganidae,Tetraodontidae,Herbivore,Browser,Detritivore,Excavator,Grazer,Scraper,Leptoscarus_vaigiensis,Naso_lituratus,Siganus_spinus,AFDW_g_3wk,MacAccumulation_g_8wk,Calcareous_macroalgae,Coral,Fleshy_macroalgae,Other,Soft_substrate,Turf,Calcareous_macroalgae_other,Dictyota,Halimeda,Padina,Stegastes_turf,Turbinaria,Turf_normal,Turf_sediment,Lobophora,Sargassum,Amansia,Other_macroalgae,Mac_palatable,Mac_unpalatable,Turf_palatable,Turf_unpalatable,LogAcanthuridae,LogBalistidae,LogChaetodontidae,LogDiodontidae,LogPomacanthidae,LogScaridae,LogSiganidae,LogTetraodontidae,LogHerbivore,LogBrowser,LogDetritivore,LogExcavator,LogGrazer,LogScraper,LogLeptoscarus_vaigiensis,LogNaso_lituratus,LogSiganus_spinus,LogAFDW_g_3wk,LogMacAccumulation_g_8wk,LogCalcareous_macroalgae,LogCoral,LogFleshy_macroalgae,LogOther,LogSoft_substrate,LogTurf,LogCalcareous_macroalgae_other,LogDictyota,LogHalimeda,LogPadina,LogStegastes_turf,LogTurbinaria,LogTurf_normal,LogTurf_sediment,LogLobophora,LogSargassum,LogAmansia,LogOther_macroalgae,LogMac_palatable,LogMac_unpalatable,LogTurf_palatable,LogTurf_unpalatable,SspinusPerMacPalatable,MacPalatablePerSspinus,MacPalatablePerBrowser,MacPalatablePerNlituratus,SargassumPerSspinus,SargassumPerBrowser,TurfPerGrazer,TurfPerScraper,Min_distance_from_crest_m,Min_distance_from_pass_m,Min_distance_from_deep_m
126,-149.88005,-17.48994,Fringe,Papetoai,7.555555556,1.133333333,23.1,0.6,0.496458189,0.562055287,0.449400492,0,0,9.69906688,0,0,10.19552507,0,0.121542897,0.050691435,0.374915293,9.648375446,0,0,0,0.018875,27.4875,2.640264026,5.940594059,18.81188119,1.320132013,44.55445545,26.73267327,0.330033003,4.620462046,2.310231023,13.53135314,4.95049505,0.660066007,1.320132013,20.4620462,0,0,0,0,13.53135314,5.280528053,1.320132013,25.41254125,0.403101109,0.446002446,0.371150017,0,0,2.37015653,0,0,2.415514151,0,0.114705324,0.049448457,0.318392124,2.36540734,0,0,0,0.018699077,3.349465395,1.292056214,1.93738737,2.986281818,0.841624086,3.818908433,3.322611258,0.285203756,1.726413875,1.197017982,2.6763086,1.783474418,0.506857365,0.841624086,3.066286082,0,0,0,0,2.6763086,1.837454062,0.841624086,3.273838945,0,Inf,Inf,Inf,NA,NA,3.521147411,0.136824279,913.3125902,1578.178383,51.1
132,-149.87088,-17.48778,Midlagoon,Papetoai,42.44444444,6.366666667,83.1,0.37,51.1713273,0.996547312,0.818087618,0,0,12.34292368,0.69309554,0,64.20734652,1.205966384,35.67877047,4.104507959,14.97968599,8.238415721,0,0.512870844,0.69309554,0.034,100.5166667,2.97029703,3.96039604,13.20132013,0,58.41584158,21.45214521,0.660066007,2.97029703,2.310231023,0,0,6.600660066,17.49174917,3.96039604,2.310231023,1.320132013,0,0,1.320132013,11.88118812,17.49174917,3.96039604,3.954533059,0.691419345,0.597785189,0,0,2.590986183,0.526558534,0,4.177572139,0.791165682,3.602198126,1.630124063,2.77131829,2.223370412,0,0.414009067,0.526558534,0.033434776,4.620222989,1.37884091,1.601485584,2.653334927,0,4.084560884,3.111386165,0.506857365,1.37884091,1.197017982,0,0,2.028235094,2.917324642,1.601485584,1.197017982,0.841624086,0,0,0.841624086,2.555767962,2.917324642,1.601485584,0.625645751,1.598348582,1.063777291,2.032863899,1.598348582,1.063777291,1.167697987,2.123193314,506.1003745,731.2383306,33.9
133,-149.88728,-17.48905,Fringe,Papetoai,3.777777778,0.566666667,59.8,0.59,2.166694443,0.544813572,0.42034613,0,0,26.52553015,0.930148591,0,29.62237319,0.991276072,0.58008585,2.716472139,1.525481112,23.80905802,0,0.061127481,0.930148591,0.023714286,13.55,0,16.83168317,4.620462046,2.97029703,56.76567657,18.81188119,0,2.310231023,0,0.330033003,2.97029703,1.98019802,7.920792079,7.920792079,0,0,0,0,0.330033003,4.290429043,7.920792079,10.89108911,1.152688281,0.434903238,0.350900595,0,0,3.315113943,0.65759699,0,3.421730892,0.688775675,0.457479181,1.312774869,0.926431584,3.211208829,0,0.059332004,0.65759699,0.02343747,2.677590994,0,2.880976828,1.726413875,1.37884091,4.056394768,2.986281818,0,1.197017982,0,0.285203756,1.37884091,1.091989748,2.188384741,2.188384741,0,0,0,0,0.285203756,1.665899347,2.188384741,2.475789305,2.305709428,0.433705994,0.414073503,4.806912567,0,0,5.192323928,0.332679776,738.1053818,897.1250492,320.6
134,-149.8869,-17.48725,Midlagoon,Papetoai,18.33333333,2.75,96.6,0.56,11.25351883,0,9.035863531,0,0,21.36011352,0,0,32.61363236,0,4.529205889,10.696416,6.724312944,10.66369753,0,0,0,0.04875,6.9,0,10.56105611,1.650165017,0,64.02640264,23.76237624,0,0.99009901,0,0.660066007,6.600660066,0,8.250825083,8.910891089,0,0,0,0,0.660066007,0.99009901,8.250825083,15.51155116,2.505813147,0,2.30616503,0,0,3.107278725,0,0,3.51493171,0,1.710044205,2.45928247,2.04437288,2.456481243,0,0,0,0.047598979,2.066862759,0,2.447642218,0.974621908,0,4.174793382,3.209325414,0,0.688184391,0,0.506857365,2.028235094,0,2.224712746,2.293634262,0,0,0,0,0.506857365,0.688184391,2.224712746,2.804060206,0,Inf,Inf,Inf,NA,NA,1.227013845,0.773730224,536.8638839,800.0231866,441.5
136,-149.8805744,-17.48690316,Midlagoon,Papetoai,13.77777778,1.678571429,76.3,0.36,40.68511795,1.632101504,1.115562762,0,0,32.2553244,0.579616976,0,73.52005933,0.579616976,27.41127388,13.36218304,13.27384408,18.89314136,0,0,0.579616976,0.029875,28.9625,0.99009901,8.910891089,2.640264026,0,66.99669967,20.4620462,0.330033003,0,0.660066007,0.330033003,1.320132013,1.320132013,14.85148515,4.290429043,0.99009901,0,0,0,0.330033003,2.310231023,14.85148515,5.610561056,3.730144181,0.967782578,0.749320858,0,0,3.504214887,0.457182397,0,4.311068342,0.457182397,3.346786034,2.664598574,2.658428777,2.990375017,0,0,0.457182397,0.029437436,3.3999466,0.688184391,2.293634262,1.292056214,0,4.21945917,3.066286082,0.285203756,0,0.506857365,0.285203756,0.841624086,0.841624086,2.763263196,1.665899347,0.688184391,0,0,0,0.285203756,1.197017982,2.763263196,1.88866853,1.60300272,0.62382926,0.62382926,Inf,0,0,1.118853367,0.786078126,571.181785,1397.278234,196.7
139,-149.86786,-17.49075,Fringe,Papetoai,11.77777778,1.766666667,83.2,0.56,48.60714467,0.950704046,0.524971692,0,0.152882468,38.43634114,1.809142827,0,88.85262864,2.775251008,26.31007119,9.256025075,21.3309653,29.18031606,0,0.048517142,1.809142827,0.045428571,60.8625,2.97029703,3.630363036,14.52145215,0,7.260726073,71.94719472,0.660066007,1.320132013,2.310231023,0.660066007,0.99009901,6.600660066,6.600660066,64.35643564,1.98019802,3.630363036,0.330033003,0,4.620462046,9.900990099,6.600660066,65.34653465,3.904134869,0.668190357,0.421975847,0,0.1422653,3.674687755,1.032879393,0,4.498170869,1.328466873,3.307255542,2.327865345,3.105974294,3.407189926,0,0.04737692,1.032879393,0.044426917,4.12491418,1.37884091,1.532635275,2.742223076,0,2.111512486,4.289735819,0.506857365,0.841624086,1.197017982,0.506857365,0.688184391,2.028235094,2.028235094,4.179855915,1.091989748,1.532635275,0.285203756,0,1.726413875,2.38885362,2.028235094,4.194891531,0.59828029,1.671457371,1.299553576,36.43997677,1.483847277,1.153687236,0.309440289,0.226202487,669.4398689,568.9924038,7.2
144,-149.85474,-17.48995,Midlagoon,Pihaena,4.888888889,0.733333333,69.8,0.46,36.95773777,2.146674027,0.678228776,0,0,20.25668729,1.543498557,0,58.75792362,1.543498557,24.89323694,7.253290992,12.06450083,13.0033963,0,0,1.543498557,0.024625,95.7875,0,4.290429043,34.65346535,0.330033003,33.99339934,26.73267327,0,3.630363036,0,10.2310231,0.99009901,4.95049505,11.55115512,14.19141914,2.640264026,11.22112211,0.99009901,0.99009901,22.44224422,11.22112211,11.55115512,15.18151815,3.636473377,1.146346031,0.517738937,0,0,3.056671542,0.933540518,0,4.090301795,0.933540518,3.253981813,2.110612029,2.569898692,2.639299893,0,0,0.933540518,0.024326692,4.572517854,0,1.665899347,3.573846347,0.285203756,3.555159453,3.322611258,0,1.532635275,0,2.418679869,0.688184391,1.783474418,2.529812702,2.720730738,1.292056214,2.503165775,0.688184391,0.688184391,3.154539703,2.503165775,2.529812702,2.783869736,0.295935574,3.37911386,3.37911386,Inf,2.681368111,2.681368111,0.9574499,0.888318317,667.4116977,552.7718422,125.8
145,-149.84967,-17.4896,Fringe,Pihaena,76.72222222,11.50833333,66.2,0.55,10.42270491,2.140245554,0.427634537,0,0,7.056612384,0.285881592,0,17.76519888,0.302748646,1.095088494,1.608935275,9.310749357,5.447677109,0,0.016867054,0.285881592,0.026375,75.4625,1.650165017,4.620462046,18.15181518,0,38.28382838,37.29372937,0.330033003,9.240924092,1.320132013,1.98019802,16.17161716,4.620462046,2.97029703,18.15181518,2.310231023,0,0,0,1.98019802,16.17161716,2.97029703,34.32343234,2.435603033,1.144300999,0.356018905,0,0,2.086493168,0.251444547,0,2.932004031,0.264476375,0.739595793,0.958942197,2.333186978,1.863719928,0,0.016726385,0.251444547,0.026033177,4.336800425,0.974621908,1.726413875,2.952397499,0,3.670812943,3.645286159,0.285203756,2.326391859,0.841624086,1.091989748,2.843257856,1.726413875,1.37884091,2.952397499,1.197017982,0,0,0,1.091989748,2.843257856,1.37884091,3.564546549,0.230262736,4.342865102,4.128874445,65.28546123,0,0,0.319018042,0.545241021,1062.051574,1032.50586,98.5
146,-149.84752,-17.48549,Fringe,Pihaena,2.666666667,0.4,69.7,0.48,23.10945121,1.466263638,0.48234663,0,0,35.58991787,0.16860872,0.873585299,58.86797779,0.329281307,10.97736106,16.55020885,12.84500286,19.03970902,0,0.160672587,0.16860872,0.035625,23.2375,0.330033003,3.300330033,4.620462046,0,74.25742574,17.49174917,0,1.650165017,0.330033003,0.330033003,9.240924092,2.310231023,3.300330033,4.95049505,0.330033003,0,0,0,0.330033003,4.290429043,3.300330033,14.19141914,3.18260393,0.902704308,0.393626393,0,0,3.599772734,0.155813913,0.627853867,4.092141768,0.284638426,2.48301829,2.86506585,2.627924363,2.997715756,0,0.148999653,0.155813913,0.035005109,3.187901021,0.285203756,1.458691772,1.726413875,0,4.32091458,2.917324642,0,0.974621908,0.285203756,0.285203756,2.326391859,1.197017982,1.458691772,1.783474418,0.285203756,0,0,0,0.285203756,1.665899347,1.458691772,2.720730738,0.546324898,1.830412643,1.001986137,1.914123622,0,0,0.25693494,0.17333931,779.7650578,1239.310261,619.7
148,-149.849,-17.48465,Midlagoon,Pihaena,40.33333333,6.05,93.2,0.36,44.89464494,0.724173532,0.758789205,0,0,30.9501212,0.316145179,0,76.16091132,1.367143729,30.6598361,14.29056755,14.23480884,15.6085551,1.050998549,0,0.316145179,0.023875,56.4875,0,8.250825083,17.82178218,0,42.57425743,31.35313531,0,0.330033003,0,10.2310231,3.300330033,4.620462046,21.45214521,6.600660066,2.310231023,0,0.330033003,0,10.56105611,7.260726073,21.45214521,9.900990099,3.826348442,0.544747824,0.564625621,0,0,3.464175974,0.274707145,0,4.345892999,0.861684051,3.455048878,2.727236138,2.723582865,2.80991793,0.718326772,0,0.274707145,0.023594449,4.051567533,0,2.224712746,2.935014826,0,3.77446655,3.476710935,0,0.285203756,0,2.418679869,1.458691772,1.726413875,3.111386165,2.028235094,1.197017982,0,0.285203756,0,2.447642218,2.111512486,3.111386165,2.38885362,0.112233374,8.910005657,2.840533274,Inf,0,0,1.507020253,1.374383796,645.2766493,1104.479657,642.5
